# Séries demonstrativas locais de desmatamento (ha/ano).
#
# Estes valores NÃO são medições reais do INPE PRODES. Eles existem apenas para
# que o painel tenha um gráfico visível quando a API do PRODES estiver
# indisponível ou sem cobertura para o recorte analisado. Sempre que usados, a
# interface e o relatório identificam a fonte como "demonstração local".
area_name,year,deforestation_ha
UMF V Mamuru-Arapiuns,2016,120.0
UMF V Mamuru-Arapiuns,2017,185.0
UMF V Mamuru-Arapiuns,2018,90.0
UMF V Mamuru-Arapiuns,2019,240.0
UMF V Mamuru-Arapiuns,2020,160.0
UMF V Mamuru-Arapiuns,2021,210.0
UMF V Mamuru-Arapiuns,2022,130.0
UMF V Mamuru-Arapiuns,2023,175.0
UMF V Mamuru-Arapiuns,2024,110.0
Centro Belém,2016,12.0
Centro Belém,2017,18.0
Centro Belém,2018,9.0
Centro Belém,2019,24.0
Centro Belém,2020,15.0
Centro Belém,2021,21.0
Centro Belém,2022,11.0
Centro Belém,2023,17.0
Centro Belém,2024,14.0
Área degradada (demo),2016,320.0
Área degradada (demo),2017,410.0
Área degradada (demo),2018,280.0
Área degradada (demo),2019,520.0
Área degradada (demo),2020,380.0
Área degradada (demo),2021,460.0
Área degradada (demo),2022,340.0
Área degradada (demo),2023,495.0
Área degradada (demo),2024,305.0
